section communale,Cultures,Saison 1,Saison2,Saison 3 et plus,total saison 1 ,total saison 2,moyenne 2 saisons,pc saison 1,pc saison 2,moyenne s1-s2,Pc moyenne,Total 2 saisons
814-03,Riz,20.58,25.48,13.33,2025.46,1149.04,1587.25,1.02%,2.22%,23.03,1.45%,46.06
815-01,Riz,22.89,2.48,0,1498.08,159.56,828.82,1.53%,1.55%,12.685,1.53%,25.37
815-02,Riz,22.81,7.9,0.67,2180.66,628.58,1404.62,1.05%,1.26%,15.355,1.09%,30.71
821-01,Riz,186.9,11,0,1244.44,101.83,673.135,15.02%,10.80%,98.95,14.70%,197.9
821-02,Riz,155.23,117.5,18.92,1184.32,692.14,938.23,13.11%,16.98%,136.365,14.53%,272.73
821-03,Riz,96.53,97.7,1,1554.91,600.69,1077.8,6.21%,16.26%,97.115,9.01%,194.23
821-04,Riz,33.61,0.05,0,759,1.36,380.18,4.43%,3.68%,16.83,4.43%,33.66
822-01,Riz,50.9,0,0,1168.44,0,584.22,4.36%,0.00%,25.45,4.36%,50.9
822-02,Riz,15.4,0,0,535.13,0,267.565,2.88%,0.00%,7.7,0.029,15.4
822-03,Riz,1.94,0,0,867.66,28.93,448.295,0.22%,0.00%,0.97,0.22%,1.94
822-04,Riz,0,0,0,910.78,1.38,456.08,0.00%,0.00%,0,0.00%,0
822-05,Riz,0.05,0,0,827.77,3.16,415.465,0.01%,0.00%,0.025,0.01%,0.05
823-01,Riz,59.08,13.88,0,1239.15,585.05,912.1,4.77%,2.37%,36.48,4.00%,72.96
823-02,Riz,241.99,0,0,944.08,1.96,473.02,25.63%,0.00%,120.995,25.58%,241.99
823-03,Riz,44.98,0,0,285.91,0,142.955,15.73%,0.00%,22.49,15.73%,44.98
831-01,Riz,17.06,11.68,0,586.11,29.14,307.625,2.91%,40.08%,14.37,4.67%,28.74
831-02,Riz,22.77,53.03,0,591.86,565.91,578.885,3.85%,9.37%,37.9,6.55%,75.8
831-03,Riz,17.98,19.47,0,775.2,586.83,681.015,2.32%,3.32%,18.725,2.75%,37.45
832-01,Riz,0.02,0,0,890.47,152.06,521.265,0.00%,0.00%,0.01,0.00%,0.02
832-02,Riz,0.06,0,0.1,2513.8,1292.88,1903.34,0.00%,0.00%,0.03,0.00%,0.06
832-03,Riz,0,0,0,1038.62,612.7,825.66,0.00%,0.00%,0,0.00%,0
832-04,Riz,0,0,0,1015.79,181.87,598.83,0.00%,0.00%,0,0.00%,0
833-01,Riz,0.08,0,0,2953.33,1216.83,2085.08,0.00%,0.00%,0.04,0.00%,0.08
833-02,Riz,0,0,0,347.16,55.55,201.355,0.00%,0.00%,0,0.00%,0
833-03,Riz,0.01,0.01,0,2296.62,1068.34,1682.48,0.00%,0.00%,0.01,0.00%,0.02
834-01,Riz,0,0,0,1943.77,1.61,972.69,0.00%,0.00%,0,0.00%,0
834-02,Riz,0,0,0,1320.09,0.83,660.46,0.00%,0.00%,0,0.00%,0
834-03,Riz,0,0,0,2121.42,28.2,1074.81,0.00%,0.00%,0,0.00%,0
834-04,Riz,1,1,0,2016.73,65.18,1040.955,0.05%,1.53%,1,0.10%,2
834-05,Riz,0,0,0,1611.12,186.02,898.57,0.00%,0.00%,0,0.00%,0
834-06,Riz,0,0,0,448.91,0.57,224.74,0.00%,0.00%,0,0.00%,0
911-01,Riz,0,0,0,1526.93,132.04,829.485,0.00%,0.00%,0,0.00%,0
911-02,Riz,0,0.01,0,1510.93,213.09,862.01,0.00%,0.00%,0.005,0.00%,0.01
911-03,Riz,0,0,0,867.49,46.07,456.78,0.00%,0.00%,0,0.00%,0
911-04,Riz,1.77,0,0.01,3507.8,1743.4,2625.6,0.05%,0.00%,0.885,0.03%,1.77
911-05,Riz,0,0,0,3377.84,448.67,1913.255,0.00%,0.00%,0,0.00%,0
911-06,Riz,0.45,0,0,3019,13.04,1516.02,0.01%,0.00%,0.225,0.01%,0.45
912-01,Riz,0.02,0,0,5192.22,72.66,2632.44,0.00%,0.00%,0.01,0.00%,0.02
912-02,Riz,0.01,0,0,4077.71,82.4,2080.055,0.00%,0.00%,0.005,0.00%,0.01
913-01,Riz,0,0,0,1764.29,80.8,922.545,0.00%,0.00%,0,0.00%,0
913-02,Riz,0.1,0,0,945,261.93,603.465,0.01%,0.00%,0.05,0.01%,0.1
913-03,Riz,2.29,0,0,2405.82,6.3,1206.06,0.10%,0.00%,1.145,0.09%,2.29
914-01,Riz,0.19,0,0,1539.28,139.85,839.565,0.01%,0.00%,0.095,0.01%,0.19
914-02,Riz,0,0,0,1547.78,119.07,833.425,0.00%,0.00%,0,0.00%,0
921-01,Riz,0.01,0.08,0,1016.97,44.55,530.76,0.00%,0.18%,0.045,0.01%,0.09
921-02,Riz,0,0,0,1149.02,0,574.51,0.00%,0.00%,0,0.00%,0
921-03,Riz,1.11,1,0,2109.8,212.73,1161.265,0.05%,0.47%,1.055,0.09%,2.11
921-04,Riz,0,0,0,1317.88,49.9,683.89,0.00%,0.00%,0,0.00%,0
921-05,Riz,0.27,0,0,630.28,0.54,315.41,0.04%,0.00%,0.135,0.04%,0.27
